"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,188,"RUS","Russia",1,"Adygey","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0410><U+0434><U+044B><U+0433><U+0435><U+044F>","Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya"
2,188,"RUS","Russia",2,"Altay","Kray","Territory","<U+0410><U+043B><U+0442><U+0430><U+0439><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Altayskiy Kray"
3,188,"RUS","Russia",3,"Amur","Oblast","Region","<U+0410><U+043C><U+0443><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Amurskaya Oblast"
4,188,"RUS","Russia",4,"Arkhangel'sk","Oblast","Region","<U+0410><U+0440><U+0445><U+0430><U+043D><U+0433><U+0435><U+043B><U+044C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast"
5,188,"RUS","Russia",5,"Astrakhan'","Oblast","Region","<U+0410><U+0441><U+0442><U+0440><U+0430><U+0445><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Astrachan|Astrakhanskaya Oblast"
6,188,"RUS","Russia",6,"Bashkortostan","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+0430><U+0448><U+043A><U+043E><U+0440><U+0442><U+043E><U+0441><U+0442><U+0430><U+043D>","Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan"
7,188,"RUS","Russia",7,"Belgorod","Oblast","Region","<U+0411><U+0435><U+043B><U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Belgorodskaya Oblast"
8,188,"RUS","Russia",8,"Bryansk","Oblast","Region","<U+0411><U+0440><U+044F><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Bryanskaya Oblast"
9,188,"RUS","Russia",9,"Buryat","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+0443><U+0440><U+044F><U+0442><U+0438><U+044F>","Buryatiya|Buryat-Mongol A.S.S.R.|Republic of Buryatia|Buryatskaya A.S.S.R.|Respublika"
10,188,"RUS","Russia",10,"Chechnya","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0427><U+0435><U+0447><U+0435><U+043D><U+043E>-<U+0418><U+043D><U+0433><U+0443><U+0448><U+0441><U+043A><U+0430><U+044F>","Cecenia|Chechenia|Chechênia|Tchetchnia|Chechen-Ingush A.S.S.R.|Checheno-Ingushetia|Checheno-Ingushetia"
11,188,"RUS","Russia",11,"Chelyabinsk","Oblast","Region","<U+0427><U+0435><U+043B><U+044F><U+0431><U+0438><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Chelyabinskaya Oblast"
12,188,"RUS","Russia",12,"Chukot","Avtonomnyy Okrug","Autonomous Province","<U+0427><U+0443><U+043A><U+043E><U+0442><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Chukotka|Chukotskiy Aok"
13,188,"RUS","Russia",13,"Chuvash","Respublika","Republic","<U+0427><U+0443><U+0432><U+0430><U+0448><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Chuvashskaya A.S.S.R.|Chuvashskaya Respublika|Chuvashiya|Chuvash Republic"
14,188,"RUS","Russia",14,"City of St. Petersburg","Gorsovet","City","<U+0421><U+0430><U+043D><U+043A><U+0442>-<U+041F><U+0435><U+0442><U+0435><U+0440><U+0431><U+0443><U+0440><U+0433> (<U+0433><U+043E><U+0440><U+0441><U+043E><U+0432><U+0435><U+0442>)","Sankt-Peterburg gorsovet"
15,188,"RUS","Russia",15,"Dagestan","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0414><U+0430><U+0433><U+0435><U+0441><U+0442><U+0430><U+043D>","Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan"
16,188,"RUS","Russia",16,"Gorno-Altay","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0410><U+043B><U+0442><U+0430><U+0439>","Gorno-Altayskaya A.Obl.|Respublika Altay|Oirot|Republic of Altai"
17,188,"RUS","Russia",17,"Ingush","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443>´<U+0431><U+043B><U+0438><U+043A><U+0430> <U+0418><U+043D><U+0433><U+0443><U+0448><U+0435>´<U+0442><U+0438><U+044F>","Ingouchie|Inguchétia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya"
18,188,"RUS","Russia",18,"Irkutsk","Oblast","Region","<U+0418><U+0440><U+043A><U+0443><U+0442><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Irkutskaya Oblast"
19,188,"RUS","Russia",19,"Ivanovo","Oblast","Region","<U+0418><U+0432><U+0430><U+043D><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Ivanovskaya Oblast"
20,188,"RUS","Russia",20,"Kabardin-Balkar","Respublika","Republic","<U+041A><U+0430><U+0431><U+0430><U+0440><U+0434><U+0438><U+043D><U+043E>-<U+0411><U+0430><U+043B><U+043A><U+0430><U+0440><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic"
21,188,"RUS","Russia",21,"Kaliningrad","Oblast","Region","<U+041A><U+0430><U+043B><U+0438><U+043D><U+0438><U+043D><U+0433><U+0440><U+0430><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kaliningradskaya Oblast"
22,188,"RUS","Russia",22,"Kalmyk","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+0430><U+043B><U+043C><U+044B><U+043A><U+0438><U+044F>","Kalmykiya|Khalmg Tangch|Republic of Kalmykia|Kalmytskaya A.S.S.R.|Respublika Kalmykiya"
23,188,"RUS","Russia",23,"Kaluga","Oblast","Region","<U+041A><U+0430><U+043B><U+0443><U+0436><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kaluzhskaya Oblast"
24,188,"RUS","Russia",24,"Kamchatka","Kray","Territory","<U+041A><U+0430><U+043C><U+0447><U+0430><U+0442><U+0441><U+043A><U+0430><U+044F> <U+043A><U+0440><U+0430><U+0439>","Kamçatka|Kamchatskaya Kray"
25,188,"RUS","Russia",25,"Karachay-Cherkess","Respublika","Republic","<U+041A><U+0430><U+0440><U+0430><U+0447><U+0430><U+0435><U+0432><U+043E>-<U+0427><U+0435><U+0440><U+043A><U+0435><U+0441><U+0441><U+0438><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Karaçay-Çerkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K"
26,188,"RUS","Russia",26,"Karelia","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+0430><U+0440><U+0435><U+043B><U+0438><U+044F>","Karelian A.S.S.R.|Karelo-Finnish A.S.S.R.|Karel'skaya A.S.S.R.|Olonets|Olonetskaya G.|Kareliya|Republic of Karelia"
27,188,"RUS","Russia",27,"Kemerovo","Oblast","Region","<U+041A><U+0435><U+043C><U+0435><U+0440><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kemerovskaya Oblast"
28,188,"RUS","Russia",28,"Khabarovsk","Kray","Territory","<U+0425><U+0430><U+0431><U+0430><U+0440><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Khabarovskiy Kray"
29,188,"RUS","Russia",29,"Khakass","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0425><U+0430><U+043A><U+0430><U+0441><U+0438><U+044F>","Khakassiya|Republic of Khakasia|Khakasskaya A.Obl.|Respublika Khakasiya|Republic of Khakasia"
30,188,"RUS","Russia",30,"Khanty-Mansiy","Avtonomnyy Okrug","Autonomous Province","<U+0425><U+0430><U+043D><U+0442><U+044B>-<U+041C><U+0430><U+043D><U+0441><U+0438><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Khanty-Mansiysk|Khanty-Mansiyskiy A.Okr.|Khanty-Mansiyskiy A.Okr.-Yugra|Khanty-Mansiyskiy Aok"
31,188,"RUS","Russia",31,"Kirov","Oblast","Region","<U+041A><U+0438><U+0440><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Vyatka|Vyatskaya G.|Kirovskaya Oblast"
32,188,"RUS","Russia",32,"Komi","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+043E><U+043C><U+0438>","Komi A.S.S.R.|Republic of Komi|Respublika Komi"
33,188,"RUS","Russia",33,"Kostroma","Oblast","Region","<U+041A><U+043E><U+0441><U+0442><U+0440><U+043E><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kostromskaya Oblast"
34,188,"RUS","Russia",34,"Krasnodar","Kray","Territory","<U+041A><U+0440><U+0430><U+0441><U+043D><U+043E><U+0434><U+0430><U+0440><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray"
35,188,"RUS","Russia",35,"Krasnoyarsk","Kray","Territory","<U+041A><U+0440><U+0430><U+0441><U+043D><U+043E><U+044F><U+0440><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Krasnoyarskiy Kray|Yeniseisk|Yeniseyskaya G."
36,188,"RUS","Russia",36,"Kurgan","Oblast","Region","<U+041A><U+0443><U+0440><U+0433><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kurganskaya Oblast"
37,188,"RUS","Russia",37,"Kursk","Oblast","Region","<U+041A><U+0443><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kurskaya Oblast"
38,188,"RUS","Russia",38,"Leningrad","Oblast","Region","<U+041B><U+0435><U+043D><U+0438><U+043D><U+0433><U+0440><U+0430><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Saint Petersburg|Sankt-Peterburgskaya G.|Leningradskaya Oblast"
39,188,"RUS","Russia",39,"Lipetsk","Oblast","Region","<U+041B><U+0438><U+043F><U+0435><U+0446><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Lipetskaya Oblast"
40,188,"RUS","Russia",40,"Maga Buryatdan","Oblast","Region","<U+041C><U+0430><U+0433><U+0430><U+0434><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Magadanskaya Oblast"
41,188,"RUS","Russia",41,"Mariy-El","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041C><U+0430><U+0440><U+0438><U+0439> <U+042D><U+043B>","Mari|Mari-El|Republic of Mari El|Mariyskaya A.S.S.R.|Respublika Mariy El"
42,188,"RUS","Russia",42,"Mordovia","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041C><U+043E><U+0440><U+0434><U+043E><U+0432><U+0438><U+044F>","Mordov|Mordvian Autonomous Republic|Mordvinia|Republic of Mordovia|Mordovian A.S.S.R."
43,188,"RUS","Russia",43,"Moscow City","Gorod","City",NA,NA
44,188,"RUS","Russia",44,"Moskva","Oblast","Region","<U+041C><U+043E><U+0441><U+043A><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Mosca|Moscou|Moscow|Moskau|Moskova|Moskovskaya"
45,188,"RUS","Russia",45,"Murmansk","Oblast","Region","<U+041C><U+0443><U+0440><U+043C><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Murmanskaya Oblast"
46,188,"RUS","Russia",46,"Nenets","Avtonomnyy Okrug","Autonomous Province","<U+041D><U+0435><U+043D><U+0435><U+0446><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Nenetskiy A.Okr.|Nenetskiy Aok"
47,188,"RUS","Russia",47,"Nizhegorod","Oblast","Region","<U+041D><U+0438><U+0436><U+0435><U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Gor'kiy|Gor'kovskaya|Gorky|Nizhegorodskaya|Nizhniy-Novgorod|Nizhegorodskaya Oblast"
48,188,"RUS","Russia",48,"North Ossetia","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0421><U+0435><U+0432><U+0435><U+0440><U+043D><U+0430><U+044F> <U+041E><U+0441><U+0435><U+0442><U+0438><U+044F>-<U+0410><U+043B><U+0430><U+043D><U+0438><U+044F>","Kuzey Osetya|Respublika Severnaya Osetiya|Severnaya Osetiya-Alaniya|North Ossetian A.S.S.R.|Republic of North Osetia-Alania"
49,188,"RUS","Russia",49,"Novgorod","Oblast","Region","<U+041D><U+043E><U+0432><U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Novgorodskaya Oblast"
50,188,"RUS","Russia",50,"Novosibirsk","Oblast","Region","<U+041D><U+043E><U+0432><U+043E><U+0441><U+0438><U+0431><U+0438><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Novosibirskaya Oblast"
51,188,"RUS","Russia",51,"Omsk","Oblast","Region","<U+041E><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Omskaya Oblast"
52,188,"RUS","Russia",52,"Orel","Oblast","Region","<U+041E><U+0440><U+043B><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Orlovskaya|Or'ol|Oryol|Orlovskaya Oblast"
53,188,"RUS","Russia",53,"Orenburg","Oblast","Region","<U+041E><U+0440><U+0435><U+043D><U+0431><U+0443><U+0440><U+0433><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Chkalov|Orenburgskaya|Orenburgskaya Oblast"
54,188,"RUS","Russia",54,"Penza","Oblast","Region","<U+041F><U+0435><U+043D><U+0437><U+0435><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Penzenskaya Oblast"
55,188,"RUS","Russia",55,"Perm'","Kray","Territory","<U+041F><U+0435><U+0440><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043A><U+0440><U+0430><U+0439>","Molotov|Permskaya"
56,188,"RUS","Russia",56,"Primor'ye","Kray","Territory","<U+041F><U+0440><U+0438><U+043C><U+043E><U+0440><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Küsten-Gebiet|Maritime Territory|Primorsk|Primorskiy Kray"
57,188,"RUS","Russia",57,"Pskov","Oblast","Region","<U+041F><U+0441><U+043A><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Pskovskaya Oblast"
58,188,"RUS","Russia",58,"Rostov","Oblast","Region","<U+0420><U+043E><U+0441><U+0442><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Province of the Don Cossacks|Provinz des Donischen Heeres|Voyska Donskovo|Rostovskaya Oblast"
59,188,"RUS","Russia",59,"Ryazan'","Oblast","Region","<U+0420><U+044F><U+0437><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Ryazanskaya Oblast|Ryazanskaya Oblast"
60,188,"RUS","Russia",60,"Sakhalin","Oblast","Region","<U+0421><U+0430><U+0445><U+0430><U+043B><U+0438><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Sakhalinskaya Oblast"
61,188,"RUS","Russia",61,"Sakha","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0421><U+0430><U+0445><U+0430>","Republic of Sakha|Yakutia-Sakha|Yakutsk|Yakut A.S.S.R.|Yakutskaya A.S.S.R.|Respublika Sakha"
62,188,"RUS","Russia",62,"Samara","Oblast","Region","<U+0421><U+0430><U+043C><U+0430><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kuybyshev|Kuybyshevskaya|Samarskaya Oblast"
63,188,"RUS","Russia",63,"Saratov","Oblast","Region","<U+0421><U+0430><U+0440><U+0430><U+0442><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Saratovskaya Oblast"
64,188,"RUS","Russia",64,"Smolensk","Oblast","Region","<U+0421><U+043C><U+043E><U+043B><U+0435><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Smolenskaya Oblast"
65,188,"RUS","Russia",65,"Stavropol'","Kray","Territory","<U+0421><U+0442><U+0430><U+0432><U+0440><U+043E><U+043F><U+043E><U+043B><U+044C><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Stavropol'skiy Kray|Stavropolskiy Kray"
66,188,"RUS","Russia",66,"Sverdlovsk","Oblast","Region","<U+0421><U+0432><U+0435><U+0440><U+0434><U+043B><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Yekaterinburg|Sverdlovskaya Oblast"
67,188,"RUS","Russia",67,"Tambov","Oblast","Region","<U+0422><U+0430><U+043C><U+0431><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tambovskaya Oblast"
68,188,"RUS","Russia",68,"Tatarstan","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0422><U+0430><U+0442><U+0430><U+0440><U+0441><U+0442><U+0430><U+043D>","Kazan|Kazanskaya G.|Tatar A.S.S.R.|Tatarskaya A.S.S.R.|Republic of Tatarstan|Respublika Tatars"
69,188,"RUS","Russia",69,"Tomsk","Oblast","Region","<U+0422><U+043E><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tomskaya Oblast"
70,188,"RUS","Russia",70,"Tula","Oblast","Region","<U+0422><U+0443><U+043B><U+044C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tul'skaya|Tulskaya Oblast"
71,188,"RUS","Russia",71,"Tuva","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0422><U+044B><U+0432><U+0430>","Respublika Tyva|Republic of Tuva|Tyva|Tuvinskaya A.S.S.R.|Republic of Tyva"
72,188,"RUS","Russia",72,"Tver'","Oblast","Region","<U+0422><U+0432><U+0435><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kalinin|Kalininskaya|Tverskaya Oblast"
73,188,"RUS","Russia",73,"Tyumen'","Oblast","Region","<U+0422><U+044E><U+043C><U+0435><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Tobol'sk|Tobol'skaya G.|Tyumenskaya Oblast"
74,188,"RUS","Russia",74,"Udmurt","Respublika","Republic","<U+0423><U+0434><U+043C><U+0443><U+0440><U+0442><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Udmurtiya|Udmurt Republic|Udmurtskaya A.S.S.R.|Udmurtskaya Respublika"
75,188,"RUS","Russia",75,"Ul'yanovsk","Oblast","Region","<U+0423><U+043B><U+044C><U+044F><U+043D><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Simbirsk|Simbirskaya G.|Ul'yanovskaya Oblast"
76,188,"RUS","Russia",76,"Vladimir","Oblast","Region","<U+0412><U+043B><U+0430><U+0434><U+0438><U+043C><U+0438><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Vladimirskaya Oblast"
77,188,"RUS","Russia",77,"Volgograd","Oblast","Region","<U+0412><U+043E><U+043B><U+0433><U+043E><U+0433><U+0440><U+0430><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Stalingrad|Volgogradskaya Oblast"
78,188,"RUS","Russia",78,"Vologda","Oblast","Region","<U+0412><U+043E><U+043B><U+043E><U+0433><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Vologodskaya Oblast"
79,188,"RUS","Russia",79,"Voronezh","Oblast","Region","<U+0412><U+043E><U+0440><U+043E><U+043D><U+0435><U+0436><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Voronezhskaya Oblast"
80,188,"RUS","Russia",80,"Yamal-Nenets","Avtonomnyy Okrug","Autonomous Province","<U+042F><U+043C><U+0430><U+043B><U+043E>-<U+041D><U+0435><U+043D><U+0435><U+0446><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Yamalo-Nenetskiy A. Okrug"
81,188,"RUS","Russia",81,"Yaroslavl'","Oblast","Region","<U+042F><U+0440><U+043E><U+0441><U+043B><U+0430><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Yaroslavskaya"
82,188,"RUS","Russia",82,"Yevrey","Avtonomnaya Oblast","Autonomous Region","E<U+0432><U+0440><U+0435><U+0439><U+0441><U+043A><U+0430><U+044F> <U+0410><U+041E><U+0431>","Den jødiske autonome oblasten|Evrey|Jewish A.Obl.|Yahudi|Yevreyskaya A.Obl.|Evreyskaya AOb"
83,188,"RUS","Russia",83,"Zabaykal'ye","Kray","Territory","<U+0417><U+0430><U+0431><U+0430><U+0439><U+043A><U+0430><U+043B><U+044C><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Zabaykalsky"
